Site,Variable,N,N_missing,Mean,Median,SD,Minimum,Maximum
4NL2,AvgTempSetPointDeviationVC,525,41,5.26322,5,4.733565,-2.5,17.1
4NL2,AvgTempVC,525,40,77.44165,77.3,4.003665,66,87.6
4NL2,Ceftiofur,525,1,18.17176,0,34.557419,0,271
4NL2,CeftiofurProportion,525,1,0.00616,0,0.011645,0,0.09429
4NL2,Days,525,0,50.05905,44,34.578298,1,136
4NL2,Dead,525,1,0.93511,1,1.279186,0,7
4NL2,DeadProportion,525,1,3.5e-4,3.2e-4,4.61e-4,0,0.00243
4NL2,Dexamethasone,525,1,33.80534,9,50.745534,0,306
4NL2,DexamethasoneProportion,525,1,0.01319,0.00298,0.017711,0,0.10647
4NL2,Enroflaxin,525,1,22.53817,7,28.69255,0,170
4NL2,EnroflaxinProportion,525,1,0.00851,0.00233,0.010857,0,0.06528
4NL2,Euth,525,1,0.50763,0,1.588059,0,19
4NL2,EuthProportion,525,1,2e-4,0,6.71e-4,0,0.00761
4NL2,HiTempRMS,525,3,82.25268,82.3,5.05859,72.6,94.6
4NL2,HiTempSetPointDeviationRMS,525,3,9.15996,8.3,7.221733,-1.4,25.4
4NL2,HiTempSetPointDeviationVC,525,1,9.19504,8.3,7.186953,-1.4,25.4
4NL2,HiTempVC,525,0,82.14438,82.2,5.096095,70.8,94.6
4NL2,Inventory,525,0,2488.7581,2926,809.393959,13,3328
4NL2,InventoryChange,525,0,13.52952,-1,257.781791,-2307,1952
4NL2,Lincomycin,525,1,3.10115,0,7.072371,0,37
4NL2,LincomycinProportion,525,1,0.00272,0,0.006203,0,0.03083
4NL2,LowTempRMS,525,3,74.25096,74,4.004706,65.6,84.7
4NL2,LowTempSetPointDeviationRMS,525,3,1.15824,2,3.718148,-17.1,11.1
4NL2,LowTempSetPointDeviationVC,525,1,1.22156,2,3.565751,-14.2,11.1
4NL2,LowTempVC,525,0,74.15962,73.9,4.159768,55.5,84.7
4NL2,Marketing,525,0,0,0,0,0,0
4NL2,MidPointTempRMS,525,3,78.25182,78.15,3.892904,69.65,88.7
4NL2,MidPointTempSetPointDeviationRMS,525,3,5.1591,4.85,5.227832,-8.75,17.5
4NL2,OtherTreatments,525,1,0,0,0,0,0
4NL2,OtherTreatmentsProportion,525,1,0,0,0,0,0
4NL2,Penicillin,525,1,23.70038,12,27.587717,0,136
4NL2,PenicillinProportion,525,1,0.00812,0.004,0.009349,0,0.04529
4NL2,PrimaryRespiratory,525,1,40.70992,37,40.34611,0,275
4NL2,PrimaryRespiratoryProportion,525,1,0.01467,0.01366,0.014024,0,0.09569
4NL2,SecondaryRespiratory,525,1,60.60687,45,56.64483,0,341
4NL2,SecondaryRespiratoryProportion,525,1,0.02403,0.01843,0.019332,0,0.11865
4NL2,SetPointRMS,525,0,73.13238,71,6.054654,63.6,83.5
4NL2,SetPointVC,525,1,72.95668,70.9,6.037098,60.7,83.5
4NL2,TempRangeRMS,525,3,8.00172,6.55,4.757644,1.7,20.3
4NL2,TempRangeVC,525,0,7.98476,6.5,4.741163,1.7,20.3
4NL2,Tetracycline,525,1,0,0,0,0,0
4NL2,TetracyclineProportion,525,1,0,0,0,0,0
4NL2,TotalInventoryChange,525,0,14.25524,-2,357.243849,-2889,1952
4NL2,TotalMortality,525,1,1.44275,1,2.068281,0,20
4NL2,TotalMortalityProportion,525,1,5.5e-4,3.3e-4,8.24e-4,0,0.00845
4NL2,TotalTreatments,525,1,101.31679,71,85.059347,0,616
4NL2,TotalTreatmentsProportion,525,1,0.0387,0.0311,0.027897,0,0.21434
