Variable,N,N_missing,Mean,Median,SD,Minimum,Maximum
AvgTempSetPointDeviationVC,3013,600,7.54687,6.3,6.339455,-12.37399,28.16866
AvgTempVC,3013,578,76.45892,77,4.90579,62.99401,91.20936
Ceftiofur,3013,13,7.388,0,31.355327,0,627
CeftiofurProportion,3013,13,0.00269,0,0.010525,0,0.19854
Days,3013,4,70.63277,61,49.11981,1,210
Dead,3013,6,0.59894,0,1.07291,0,12
DeadProportion,3013,6,3.1e-4,0,6.25e-4,0,0.01099
Dexamethasone,3013,13,8.094,0,25.493211,0,306
DexamethasoneProportion,3013,13,0.00334,0,0.009544,0,0.10647
Enroflaxin,3013,13,7.64233,0,19.204028,0,265
EnroflaxinProportion,3013,13,0.00326,0,0.007849,0,0.06854
Euth,3013,6,0.40007,0,1.162699,0,19
EuthProportion,3013,6,2.2e-4,0,7.35e-4,0,0.01179
HiTempRMS,3013,39,80.48289,80.6,6.869224,63.4,99.7
HiTempSetPointDeviationRMS,3013,45,10.87635,8.7,8.733251,-2.1,39.6
HiTempSetPointDeviationVC,3013,560,13.32405,12.2,8.695817,-4.749,40.304
HiTempVC,3013,538,82.46025,82.5,6.262304,66.4221,100.304
Inventory,3013,4,1886.87637,1843,879.038001,4,4187
InventoryChange,3013,5,10.05785,0,182.21361,-2307,1952
Lincomycin,3013,13,3.404,0,9.275998,0,98
LincomycinProportion,3013,13,0.00213,0,0.005495,0,0.05227
LowTempRMS,3013,37,72.13219,72.1,4.638726,60.1,84.7
LowTempSetPointDeviationRMS,3013,43,2.5163,2.2,4.571256,-20.1,18
LowTempSetPointDeviationVC,3013,560,2.09383,1.8,4.996069,-24.3366,17.7276
LowTempVC,3013,538,71.21712,71.8,5.456007,49.3112,84.8301
Marketing,3013,4,0.111,0,0.314185,0,1
MidPointTempRMS,3013,39,76.30456,76.8,5.187629,62.85,89.7
MidPointTempSetPointDeviationRMS,3013,45,6.69747,5.25,6.415215,-9.35,27.2
OtherTreatments,3013,13,0.35133,0,4.330606,0,100
OtherTreatmentsProportion,3013,13,2.6e-4,0,0.003184,0,0.0693
Penicillin,3013,13,4.28033,0,14.670861,0,136
PenicillinProportion,3013,13,0.00148,0,0.005062,0,0.05297
PrimaryRespiratory,3013,13,16.179,0,36.540079,0,627
PrimaryRespiratoryProportion,3013,13,0.00661,0,0.013154,0,0.19854
SecondaryRespiratory,3013,13,15.77833,0,34.303947,0,341
SecondaryRespiratoryProportion,3013,13,0.00695,0,0.013497,0,0.11865
SetPointRMS,3013,31,69.6061,68.1,6.889914,60,89
SetPointVC,3013,32,69.57404,68,6.871654,60,89
TempRangeRMS,3013,39,8.35666,7,5.448229,0.3,32.2
TempRangeVC,3013,538,11.24313,11.1,5.849638,0.9,31.5145
Tetracycline,3013,13,1.14867,0,6.778044,0,180
TetracyclineProportion,3013,13,6.6e-4,0,0.00363,0,0.06618
TotalInventoryChange,3013,9,13.43975,-1,253.662176,-2889,1963
TotalMortality,3013,6,0.999,0,1.682262,0,20
TotalMortalityProportion,3013,6,5.3e-4,0,9.93e-4,0,0.01465
TotalTreatments,3013,13,32.30867,9,58.708423,0,640
TotalTreatmentsProportion,3013,13,0.01382,0.00501,0.021388,0,0.21434
WaterDispHdRMS,3013,685,1.10799,1.01795,0.641059,0.10085,3.77
WaterDispHdVC,3013,1029,1.20247,1.19391,0.657667,0.10038,2.97368
WaterDispRMS,3013,685,1943.77354,1976,975.451574,15,6840
WaterDispVC,3013,1029,1948.46623,2009,1000.442534,14,4721
WaterMedications,3013,4,0.12728,0,0.333347,0,1
