Site,Variable,N,N_missing,Mean,Median,SD,Minimum,Maximum
4NL2,AvgTempSetPointDeviationVC,1023,39,4.25884,4.1,4.687552,-3.5,24.8
4NL2,AvgTempVC,1023,39,74.88638,74.9,5.554372,58.4,87.6
4NL2,Ceftiofur,1023,1,9.45108,0,26.48114,0,271
4NL2,CeftiofurProportion,1023,2,0.00321,0,0.008939,0,0.09429
4NL2,Days,1023,0,65.67644,53,47.843248,1,171
4NL2,Dead,1023,0,0.65298,0,1.096074,0,7
4NL2,DeadProportion,1023,1,2.6e-4,0,4.39e-4,0,0.00298
4NL2,Dexamethasone,1023,1,19.53131,0,39.877954,0,306
4NL2,DexamethasoneProportion,1023,2,0.00836,0,0.014506,0,0.10647
4NL2,Enroflaxin,1023,1,16.59491,5,23.907885,0,170
4NL2,EnroflaxinProportion,1023,2,0.00668,0.00178,0.00956,0,0.06528
4NL2,Euth,1023,0,0.31769,0,1.258921,0,19
4NL2,EuthProportion,1023,1,2.2e-4,0,0.002487,0,0.07692
4NL2,HiTempRMS,1023,2,79.12664,78.9,6.805442,60,95
4NL2,HiTempSetPointDeviationRMS,1023,2,7.92968,7.1,6.841131,-1.9,33.8
4NL2,HiTempSetPointDeviationVC,1023,1,7.98845,7,6.854862,-1.8,34
4NL2,HiTempVC,1023,1,79.05078,78.8,6.785204,60.1,95
4NL2,Inventory,1023,1,2167.16047,2834,923.775623,13,3328
4NL2,InventoryChange,1023,2,11.42703,0,223.052609,-2307,1952
4NL2,Lincomycin,1023,1,3.24168,0,6.634379,0,37
4NL2,LincomycinProportion,1023,2,0.00275,0,0.00553,0,0.03083
4NL2,LowTempRMS,1023,2,71.98923,72,5.241288,49.8,82.8
4NL2,LowTempSetPointDeviationRMS,1023,2,0.79226,1.2,3.748224,-28.4,17
4NL2,LowTempSetPointDeviationVC,1023,1,0.87387,1.3,3.566274,-18.1,17.2
4NL2,LowTempVC,1023,1,71.9362,71.9,5.390406,49.8,84.7
4NL2,Marketing,1023,0,0.12023,0,0.325395,0,1
4NL2,MidPointTempRMS,1023,2,75.55793,75.95,5.609051,54.9,88.7
4NL2,MidPointTempSetPointDeviationRMS,1023,2,4.36097,4.1,4.999402,-13.75,25.3
4NL2,OtherTreatments,1023,1,0,0,0,0,0
4NL2,OtherTreatmentsProportion,1023,2,0,0,0,0,0
4NL2,Penicillin,1023,1,21.13992,8,25.547961,0,136
4NL2,PenicillinProportion,1023,2,0.00754,0.00286,0.009065,0,0.04529
4NL2,PrimaryRespiratory,1023,1,26.04599,11,34.426131,0,275
4NL2,PrimaryRespiratoryProportion,1023,2,0.00989,0.0042,0.012402,0,0.09569
4NL2,SecondaryRespiratory,1023,1,43.91292,35,46.448957,0,341
4NL2,SecondaryRespiratoryProportion,1023,2,0.01864,0.01478,0.016363,0,0.11865
4NL2,SetPointRMS,1023,1,71.20665,70.25,6.713903,60,83.5
4NL2,SetPointVC,1023,1,71.06233,70.2,6.663446,55.3,83.5
4NL2,TempRangeRMS,1023,2,7.13741,5.7,4.660949,1.3,34.1
4NL2,TempRangeVC,1023,1,7.11458,5.5,4.678485,1.3,35
4NL2,Tetracycline,1023,1,0,0,0,0,0
4NL2,TetracyclineProportion,1023,2,0,0,0,0,0
4NL2,TotalInventoryChange,1023,4,16.5103,-1,319.009929,-2889,2166
4NL2,TotalMortality,1023,0,0.97067,0,1.75927,0,20
4NL2,TotalMortalityProportion,1023,1,4.9e-4,0,0.002522,0,0.07692
4NL2,TotalTreatments,1023,1,69.9589,52,72.094971,0,616
4NL2,TotalTreatmentsProportion,1023,2,0.02854,0.02222,0.024429,0,0.21434
4NL2,WaterDispHdRMS,1023,3,1.36617,1.00877,6.123228,9.5e-4,195.30769
4NL2,WaterDispHdVC,1023,7,1.20362,1.0412,1.18899,0.04252,31.69231
4NL2,WaterDispRMS,1023,3,1996.72941,2094.5,880.842471,1,4699
4NL2,WaterDispVC,1023,7,2015.63484,2107.5,864.287738,54,4721
4NL2,WaterMedications,1023,1,0.1908,0,0.393126,0,1
BIBL,AvgTempSetPointDeviationVC,820,0,6.32622,4.05,6.881721,-4.2,21.7
BIBL,AvgTempVC,820,0,75.50439,76.45,5.577248,59.7,87.9
BIBL,Ceftiofur,820,0,2.5061,0,19.191248,0,326
BIBL,CeftiofurProportion,820,2,0.00145,0,0.011011,0,0.19854
BIBL,Days,820,0,76.83049,69,49.211728,1,178
