"DepVar","IndVar","Estimate","SE","z","P"
"MortalityProportion","Euth",0.258881251606703,0.00672630645858031,38.4878764000509,0
"MortalityProportion","Dead",0.406157635845939,0.0101265065074522,40.1083666461915,0
"MortalityProportion","TotalMortality",0.275118598334003,0.00539349995913195,51.0092890365539,0
"MortalityProportion","Penicillin",0.0111615947213501,0.00135400991470302,8.24336262249474,1.67437143497281e-16
"MortalityProportion","Dexamethasone",0.00533988507270707,0.000676009503637721,7.89912722228348,2.80863096994715e-15
"MortalityProportion","Ceftiofur",0.00264425806761152,0.000284357063291799,9.29907643932183,1.4167088484545e-20
"MortalityProportion","Enroflaxin",-0.00174674082388566,0.000980046609042181,-1.78230382899114,0.0746996986429366
"MortalityProportion","Tetracycline",0.0015754811115796,0.0018985826867248,0.829819592581153,0.406640791656298
"MortalityProportion","Lincomycin",-0.00589668087395945,0.0031914016895257,-1.84767743067649,0.0646490208252494
"MortalityProportion","OtherTreatments",0.00409827136190737,0.00276144451540518,1.48410418498162,0.137781283152291
"MortalityProportion","TotalTreatments",0.00269949586653478,0.00023824913258319,11.3305590549934,9.26117238242611e-30
"MortalityProportion","TreatmentProportion",6.52911219354028,0.520919317314745,12.5338262116997,4.87526230445615e-36
"MortalityProportion","WaterMedications",0.318866500454881,0.054642718112826,5.83548021525004,5.36358612647431e-09
"MortalityProportion","ReHS",-0.0046743620909049,0.00174218170725735,-2.68305083874608,0.00729538992713684
"MortalityProportion","WaterIntakeRMS",7.58833728397783e-06,2.51024367991272e-05,0.302294846699572,0.762427306433564
"MortalityProportion","WaterIntakeHdRMS",-0.00652298854406738,0.0486992362467367,-0.133944370523973,0.893446563785973
"MortalityProportion","WaterIntakeVC",-0.000181990820856896,4.39595521723917e-05,-4.13996075626979,3.47365240941841e-05
"MortalityProportion","WaterIntakeHdVC",-0.768474815177619,0.115026776801457,-6.68083412007665,2.37586035951439e-11
"MortalityProportion","TempReHS",-0.0034279218931072,0.00478944924952161,-0.715723607145351,0.474162031024896
"MortalityProportion","LowTempRMS",-0.00172685644193567,0.00694092544719764,-0.248793400112499,0.803520596570219
"MortalityProportion","HiTempRMS",0.000944230006830405,0.00438804248481323,0.215182512498074,0.829625024583046
"MortalityProportion","TempRangeRMS",0.00250693309995228,0.00572595594407744,0.437819138749275,0.66151739601861
"MortalityProportion","SetPointRMS",0.00384603790455524,0.00657094454710986,0.585309749151189,0.558339460718328
"MortalityProportion","LowTempVC",0.00813291241202299,0.00634525855050121,1.28173065719766,0.199937146640762
"MortalityProportion","AvgTempVC",0.00966852420502827,0.00675271874139571,1.43179726200619,0.152201851094433
"MortalityProportion","HiTempVC",-0.00231351829439308,0.00512786884826081,-0.451165652408942,0.651870162921981
"MortalityProportion","TempRangeVC",-0.010177752026563,0.00594303888043791,-1.71255013324313,0.0867953340311506
"MortalityProportion","SetPointVC",-0.0101789001879937,0.0122347776281377,-0.831964462074421,0.405429004188464
"MortalityProportion","Days_Lag1",0.000312625741031628,0.00250737677381391,0.124682394882402,0.900774995477004
"MortalityProportion","Inventory_Lag1",0.00021476413647962,5.1974321987648e-05,4.1321200213186,3.59432643359384e-05
"MortalityProportion","Euth_Lag1",0.0378580400665001,0.0111362000181252,3.39954742235974,0.000674974739573033
"MortalityProportion","Dead_Lag1",0.147146897627747,0.0125816282728867,11.6953779301243,1.34586708832417e-31
"MortalityProportion","TotalMortality_Lag1",0.0747921810062662,0.00759501184362916,9.84753974663032,7.02423139110559e-23
"MortalityProportion","MortalityProportion_Lag1",120.741710628752,12.3843150757732,9.7495670846547,1.85256586459691e-22
"MortalityProportion","Penicillin_Lag1",0.00962746925482791,0.00136717668697643,7.04186177729485,1.8968795475392e-12
"MortalityProportion","Dexamethasone_Lag1",0.0046062860494862,0.000683216106930941,6.74206302040798,1.56153319450571e-11
"MortalityProportion","Ceftiofur_Lag1",0.000753536783148453,0.000369352452865086,2.04015643405974,0.0413347473582638
"MortalityProportion","Enroflaxin_Lag1",-0.00256863244909386,0.00101242823035496,-2.53710077621332,0.0111774772902017
"MortalityProportion","Tetracycline_Lag1",0.00420848621712844,0.00169185423305056,2.48749929805724,0.0128644707445061
"MortalityProportion","Lincomycin_Lag1",-0.0103404715884849,0.0033983390507084,-3.0428016257911,0.00234386789471406
"MortalityProportion","OtherTreatments_Lag1",-0.00104162261219984,0.00314407109488077,-0.331297410512069,0.74041984708617
"MortalityProportion","TotalTreatments_Lag1",0.00131268909139526,0.000270707302466472,4.84910853691446,1.24017553521635e-06
"MortalityProportion","TreatmentProportion_Lag1",3.16466731133988,0.682909159567711,4.63409703472588,3.58498818686571e-06
"MortalityProportion","WaterMedications_Lag1",0.221968119080271,0.0547953665747557,4.05085562804742,5.10306873947824e-05
"MortalityProportion","ReHS_Lag1",-0.00655255807925937,0.00174332982073227,-3.75864509476871,0.000170835959711165
"MortalityProportion","WaterIntakeRMS_Lag1",3.33368548972696e-05,2.2495674605562e-05,1.48192287992231,0.138360816347785
"MortalityProportion","WaterIntakeHdRMS_Lag1",-0.0330714440980662,0.0561195931313531,-0.58930299121484,0.555658038655821
"MortalityProportion","WaterIntakeVC_Lag1",-0.000113737587308354,4.44885876943248e-05,-2.55655648342514,0.010571390693409
"MortalityProportion","WaterIntakeHdVC_Lag1",-0.806951842250065,0.120761598162172,-6.68218916055088,2.35398894669203e-11
