DependentVariable,IndependentVariable,BetaEstimate,SE,t_value,WaldsP_Value,OddsRatio,LowerBound,UpperBound
HighMortalityDay_Lag0,Days_Lag0,-7.718257828897227e-4,9.053077341229985e-5,-8.525562676623059,1.9292447906389696e-17,0.9992284719980132,0.9990511843117542,0.9994057911450465
HighMortalityDay_Lag0,Inventory_Lag0,4.4568526749724796e-5,5.1808999098115e-6,8.60246820544085,9.983086239317504e-18,1.0000445695199414,1.0000344145550937,1.0000547245879086
HighMortalityDay_Lag0,InventoryChange_Lag0,-9.76451631887726e-5,2.6950295893534583e-5,-3.6231573699418202,2.935848545271167e-4,0.999902359603945,0.999849543576563,0.9999551784212796
HighMortalityDay_Lag0,TotalInventoryChange_Lag0,-6.720585903106069e-5,1.8860694974354272e-5,-3.563275856082901,3.6928108743903903e-4,0.999932796399232,0.9998958326046191,0.9999697615603095
HighMortalityDay_Lag0,Marketing_Lag0,-0.06302296123173529,0.013393209254222257,-4.705590724035546,2.591625185829204e-6,0.9389219146379597,0.9145952590809091,0.9638956172518538
HighMortalityDay_Lag0,Euth_Lag0,0.08822107335144858,0.0023235988609480356,37.967428386263755,3.531795705264878e-281,1.0922295581886434,1.08726657752322,1.0972151930748393
HighMortalityDay_Lag0,EuthProportion_Lag0,69.40161467997422,2.4886579538750393,27.88716487611741,1.8112483284417423e-160,1382732882020743e15,10528096910232748e12,1816045425230724e17
HighMortalityDay_Lag0,Dead_Lag0,0.12307776370692806,0.002980241502564931,41.29791615914407,0,1.130972366131597,1.1243853045384644,1.137598017147996
HighMortalityDay_Lag0,DeadProportion_Lag0,97.60218779062,3.4623491261316275,28.189585808658126,1.0492136573972831e-163,24439458502622983e26,27598183894336e26,21642262193347175e29
HighMortalityDay_Lag0,TotalMortality_Lag0,0.06728574892369629,0.0014291168084248572,47.082049925546144,0,1.0696010718660567,1.0666092376437564,1.0726012981701973
