DependentVariable,IndependentVariable,BetaEstimate,SE,t_value,WaldsP_Value,OddsRatio,LowerBound,UpperBound
ExtremeHighMortalityDay_Lag0,Days_Lag0,-6.502898774776481e-4,7.147543442405375e-5,-9.098089192708773,1.250036890824432e-19,0.9993499215151601,0.9992099305404138,0.999489932102875
ExtremeHighMortalityDay_Lag0,Inventory_Lag0,3.361245756117051e-5,4.096389053102773e-6,8.205387019016431,2.820724842714637e-16,1.000033613022466,1.0000255838622785,1.0000416422471194
ExtremeHighMortalityDay_Lag0,InventoryChange_Lag0,-8.923255863057262e-5,2.127882845783695e-5,-4.193490201182032,2.7889553412561088e-5,0.9999107714224758,0.999869069509737,0.9999524750744918
ExtremeHighMortalityDay_Lag0,TotalInventoryChange_Lag0,-5.523746609549134e-5,1.4890004683334422e-5,-3.7097010558576686,2.0949851924594227e-4,0.9999447640594652,0.9999155816881514,0.9999739472824618
ExtremeHighMortalityDay_Lag0,Marketing_Lag0,-0.0379407619321479,0.010592147620332889,-3.581970653365526,3.438799630189493e-4,0.9627699718348989,0.942988330523285,0.9829665847005766
ExtremeHighMortalityDay_Lag0,Euth_Lag0,0.07816832519966031,0.0017748907550567752,44.04120364983245,0,1.0813046541742461,1.0775495621789222,1.0850728320789225
ExtremeHighMortalityDay_Lag0,EuthProportion_Lag0,63.22023644311413,1.9215680000628097,32.90033787045146,2.294884114817305e-217,28589057086892973e11,6614973808441997e10,12355818916086136e13
ExtremeHighMortalityDay_Lag0,Dead_Lag0,0.09935537153555493,0.002339477409857787,42.46904505976597,0,1.1044587230190446,1.0994059580691156,1.1095347099948791
ExtremeHighMortalityDay_Lag0,DeadProportion_Lag0,81.72048261570389,2.7122944242946656,30.1296503372621,4.3795703500843294e-185,30956700000406172e19,1520558155899989e18,6302404621597246e22
ExtremeHighMortalityDay_Lag0,TotalMortality_Lag0,0.05723368161888074,0.0010936059387333854,52.334830665942434,0,1.0589032277064239,1.0566359337077704,1.0611753867886053
ExtremeHighMortalityDay_Lag0,TotalMortalityProportion_Lag0,43.77808282221995,1.2204608335527052,35.870125135260565,4.573145499601741e-254,102938965159322e5,941244742598671900,1125789082105951e5
ExtremeHighMortalityDay_Lag0,ResidualTotalMortality_Lag0,0.08646121113597606,0.001504826099273622,57.45594868251607,0,1.0903090750470863,1.087097990773176,1.093529644263754
ExtremeHighMortalityDay_Lag0,StdResidualTotalMortality_Lag0,0.0547403375640093,9.527357709553729e-4,57.45594868251608,0,1.0562663063810858,1.0542957151776498,1.0582405808297775
ExtremeHighMortalityDay_Lag0,HighMortalityDay_Lag0,0.5844806007509366,0.007072508032975058,82.64120705495674,0,1.7940589107503362,1.769361036363956,1.8191015338831105
ExtremeHighMortalityDay_Lag0,Penicillin_Lag0,0.0014599083370049682,2.452579389549796e-4,5.95254263012034,2.7989145370524537e-9,1.0014609745219623,1.0009796823522132,1.00194249810715
ExtremeHighMortalityDay_Lag0,PenicillinProportion_Lag0,5.373124067416609,0.6974421408842071,7.704042747696088,1.547016375421701e-14,215.53516339010375,54.934275034769684,845.654313781252
ExtremeHighMortalityDay_Lag0,Dexamethasone_Lag0,0.001187567345540299,1.7895328021267243e-4,6.63618651822959,3.519472313485232e-11,1.0011882727828643,1.0008371691469593,1.0015394995894176
ExtremeHighMortalityDay_Lag0,DexamethasoneProportion_Lag0,2.5688852262440967,0.41178921180496003,6.238349992181981,4.743295161598287e-10,13.051267118316726,5.822783261791569,29.253291035470568
ExtremeHighMortalityDay_Lag0,Ceftiofur_Lag0,0.0015627118904565206,1.392760046303343e-4,11.220252150427942,6.5455514913347e-29,1.001563933560973,1.0012905629819788,1.0018373787751191
