"DepVar","IndVar","Estimate","SE","WaldZ_Statistic","WaldTest_P"
"TreatmentProportion","Euth",0.0522450863764475,0.0021111026773002,24.7477713605391,3.27638584124349e-135
"TreatmentProportion","Dead",0.0960456168276176,0.00247297962169679,38.8380138618844,0
"TreatmentProportion","TotalMortality",0.068920226002816,0.00155840470019698,44.2248576342876,0
"TreatmentProportion","MortalityProportion",132.983994702066,3.42170031421845,38.8648866031509,0
"TreatmentProportion","Penicillin",0.00165110274520562,0.000227923133566301,7.24412094275339,4.3525289896145e-13
"TreatmentProportion","Dexamethasone",0.01020303458721,0.000112802052928506,90.4507881046871,0
"TreatmentProportion","Ceftiofur",0.00511250322095991,4.49730702508413e-05,113.679212747639,0
"TreatmentProportion","Enroflaxin",0.00436991819779899,0.000116673427953123,37.4542710749419,5.11812921914033e-307
"TreatmentProportion","Tetracycline",0.00485038129196881,0.000390405852287871,12.4239461666479,1.93762907878814e-35
"TreatmentProportion","Lincomycin",0.0298217499089479,0.000382588487053651,77.9473270055979,0
"TreatmentProportion","OtherTreatments",0.0173730481637597,0.00056208026919512,30.90848249955,9.187632388016e-210
"TreatmentProportion","TotalTreatments",0.00604969051263959,3.94160760213084e-05,153.482820293149,0
"TreatmentProportion","WaterMedications",0.179308400102431,0.00938653039253269,19.1027347277411,2.39602423105375e-81
"TreatmentProportion","PrimaryRespiratory",0.00612072191064308,4.65798855222232e-05,131.402682553243,0
"TreatmentProportion","SecondaryRespiratory",0.00892421399476847,9.5251245576203e-05,93.6913101847987,0
"TreatmentProportion","ReHS",-0.0184685899168957,0.000485133764080035,-38.0690673054222,0
"TreatmentProportion","WaterIntakeRMS",-0.000226189624505721,8.83057816889855e-06,-25.6143618435274,1.05551004541551e-144
"TreatmentProportion","WaterIntakeHdRMS",-0.0327843811924826,0.0187732883866534,-1.74633130420509,0.0807533992911296
"TreatmentProportion","WaterIntakeVC",-0.000383037796247381,1.19210574198477e-05,-32.1311929602528,1.61747383030739e-226
"TreatmentProportion","WaterIntakeHdVC",0.0109616141674252,0.00314442794679777,3.48604399683838,0.000490220371917636
"TreatmentProportion","TempReHS",0.00283607995206424,0.001108624032208,2.55819815344951,0.0105216118926767
"TreatmentProportion","LowTempRMS",0.0149949023079515,0.00196900773882816,7.61546133733103,2.62751284648276e-14
"TreatmentProportion","HiTempRMS",-0.000641384262428915,0.00102973578153924,-0.62286294593957,0.533374589601003
"TreatmentProportion","TempRangeRMS",-0.00622496008302055,0.00082432736259868,-7.55156308701976,4.30065134136109e-14
"TreatmentProportion","SetPointRMS",-0.0094666181247746,0.00215924403506851,-4.38422798489947,1.16397823899689e-05
"TreatmentProportion","LowTempVC",0.01086026444419,0.00166261709482875,6.53202982091834,6.48842319598729e-11
"TreatmentProportion","AvgTempVC",0.00519649147380062,0.00167660130799739,3.09941990920163,0.00193899993945271
"TreatmentProportion","HiTempVC",0.000500819603132708,0.00110077497357778,0.4549700121769,0.649130812954246
"TreatmentProportion","TempRangeVC",-0.0049722794344458,0.00121266994550002,-4.10027431857857,4.1266069093252e-05
"TreatmentProportion","SetPointVC",0.0431740843933704,0.00430299109441492,10.0335054026508,1.08591448321377e-23
"TreatmentProportion","Days_Lag1",0.00885292000444471,0.0053909651406229,1.64217719341843,0.100553287699959
"TreatmentProportion","Inventory_Lag1",-1.9041514612601e-05,1.1001041392323e-05,-1.73088291676541,0.0834726491190574
"TreatmentProportion","Euth_Lag1",0.0041123783618936,0.00242142106792492,1.69833260987433,0.0894450033039264
"TreatmentProportion","Dead_Lag1",0.0548607744353492,0.00255404514042632,21.4799549025166,2.39739062086588e-102
"TreatmentProportion","TotalMortality_Lag1",0.0266205684436799,0.00169967982844755,15.6621076500005,2.74642644804086e-55
"TreatmentProportion","MortalityProportion_Lag1",59.3553459402491,3.65931958033565,16.220323105752,3.62283889001214e-59
"TreatmentProportion","Penicillin_Lag1",0.000962170333981811,0.000229719725371607,4.18845326593245,2.80862131845067e-05
"TreatmentProportion","Dexamethasone_Lag1",0.00681388335264621,0.000113750976200519,59.9017571562179,0
"TreatmentProportion","Ceftiofur_Lag1",0.00149971336087456,5.65020482189746e-05,26.5426370927721,3.12345366687235e-155
"TreatmentProportion","Enroflaxin_Lag1",0.000804174194665937,0.000131175902976104,6.13050245068584,8.76019677392765e-10
"TreatmentProportion","Tetracycline_Lag1",-0.014266356441219,0.000647622719345554,-22.0288078460801,1.52535136723077e-107
