"Dependent Variable","Independent Variable","Confounding Variable(s)","Beta Estimate","Standard Error","Wald-Test Z-value","Wald-Test P-value","AIC","BIC"
"HMD_Turn","Days_Lag0","None",-0.00629025074113805,0.00118163343364039,-5.3233520329219,1.01872323383463e-07,2357.63344927878,2369.6501804194
"HMD_Turn","StdDays_Lag0","None",-0.308796597694028,0.0580079235384579,-5.32335203292189,1.01872323383464e-07,2357.63344927878,2369.6501804194
"HMD_Turn","Inventory_Lag0","None",0.000410259366649424,5.84976012133848e-05,7.01326820484312,2.32814534982643e-12,2339.33011624068,2351.34684738131
"HMD_Turn","StdInventory_Lag0","None",0.360675059145032,0.0514275297351329,7.01326820484312,2.32814534982642e-12,2339.33011624068,2351.34684738131
"HMD_Turn","LogInventory_Lag0","None",0.72361053825996,0.114469361748516,6.32143420044307,2.59146723411535e-10,2339.79405706614,2351.81078820676
"HMD_Turn","StdLogInventory_Lag0","None",0.469912550625007,0.0743363824924527,6.32143420044307,2.59146723411545e-10,2339.79405706614,2351.81078820676
"HMD_Turn","Euth_Lag0","None",1.69894551462499,0.0832795036457612,20.4005240215125,1.65433299873698e-92,1595.47288234866,1607.48961348929
"HMD_Turn","Dead_Lag0","None",1.33085008769853,0.0637550078137081,20.8744400375147,9.14339597649931e-97,1691.39958723822,1703.41631837885
"HMD_Turn","TotalMortality_Lag0","None",2.13994515939541,0.104142090017957,20.5483216154624,7.96703992880831e-94,853.427689058486,865.444420199112
"HMD_Turn","HMD_Global_Lag0","None",5.45797580975448,0.190615190177907,28.6334777656513,2.57463641000754e-180,942.751218954994,954.76795009562
"HMD_Turn","HMD_GlobalResid_Lag0","None",3.14003682535576,0.168491555087742,18.6361673955741,1.63546991347195e-77,650.030057681053,662.046788821679
"HMD_Turn","HMD_TurnResid_Lag0","None",3034.28259727903,18051.0246543069,0.168094756690449,0.866508734215286,4.00021626351151,16.0169474041373
"HMD_Turn","MortalityProportion_Lag0","None",3272.64364779186,146.286724540523,22.3714329380948,7.46985131117557e-111,1065.55654434274,1077.57327548336
"HMD_Turn","Penicillin_Lag0","None",0.0152559333720481,0.00283056145319701,5.38971989278564,7.05675865499821e-08,2352.44093719903,2364.45233855635
"HMD_Turn","Dexamethasone_Lag0","None",0.00725923008716665,0.00164129316039663,4.42287231941697,9.73973055092839e-06,2356.77384514838,2368.78457928302
"HMD_Turn","Ceftiofur_Lag0","None",0.0109164579597048,0.0016839364440688,6.48270188471482,9.00944079318375e-11,2324.32993955741,2336.34134091474
