"Dependent Variable","Independent Variable","Confounding Variable(s)","Beta Estimate","Standard Error","Wald-Test Z-value","Wald-Test P-value","AIC","BIC"
"HMD_Global","Days_Lag0","None",-0.00512071282831451,0.00117227647085977,-4.36817845926643,1.2528710157641e-05,2330.43892652377,2342.4556576644
"HMD_Global","StdDays_Lag0","None",-0.251382459018732,0.0575485780544203,-4.36817845926643,1.25287101576411e-05,2330.43892652377,2342.4556576644
"HMD_Global","Inventory_Lag0","None",0.000484411588735043,5.90948066652491e-05,8.19719390028739,2.46063368865994e-16,2283.90541413,2295.92214527063
"HMD_Global","StdInventory_Lag0","None",0.425865178519735,0.0519525564113842,8.19719390028739,2.46063368865997e-16,2283.90541413,2295.92214527063
"HMD_Global","LogInventory_Lag0","None",0.769492305715357,0.117284139775006,6.56092381452027,5.34754387803556e-11,2298.44160291967,2310.4583340603
"HMD_Global","StdLogInventory_Lag0","None",0.499708161982458,0.0761642988258044,6.56092381452027,5.34754387803537e-11,2298.44160291967,2310.4583340603
"HMD_Global","Euth_Lag0","None",1.80371959308665,0.0871411753135025,20.6988210406563,3.54947222583759e-95,1508.61312178416,1520.62985292479
"HMD_Global","Dead_Lag0","None",1.47736853853226,0.0688620855769934,21.4540196706712,4.18846850261552e-102,1565.34918078397,1577.36591192459
"HMD_Global","TotalMortality_Lag0","None",3.05875397750476,0.176675067849707,17.3128784651537,3.76132002520787e-67,574.291278015645,586.308009156271
"HMD_Global","HMD_GlobalResid_Lag0","None",6421.02086854385,21176.9768505104,0.303207625614848,0.761731637999036,4.00098065585541,16.0177117964813
"HMD_Global","HMD_Turn_Lag0","None",5.45797580736032,0.190612597539803,28.633867214472,2.54605068099413e-180,905.383677262655,917.400408403281
"HMD_Global","HMD_TurnResid_Lag0","None",3.81774572205633,0.210675638646454,18.1214389408502,2.15874650956763e-73,605.609040504534,617.62577164516
"HMD_Global","MortalityProportion_Lag0","None",3848.003215915,179.614716021879,21.423652254898,8.04288275209248e-102,885.142643496308,897.159374636934
"HMD_Global","Penicillin_Lag0","None",0.0164945552296663,0.00281928211660793,5.8506224448059,4.89736774370825e-09,2310.50155415618,2322.51295551351
"HMD_Global","Dexamethasone_Lag0","None",0.00771962679922147,0.00163836323038773,4.7117920226973,2.45547910585071e-06,2317.01168421751,2329.02241835215
"HMD_Global","Ceftiofur_Lag0","None",0.0166086401252819,0.00183941422681158,9.02930937642641,1.72758610269586e-19,2237.32657227134,2249.33797362866
"HMD_Global","Enroflaxin_Lag0","None",-0.00202012059661387,0.0029923713359888,-0.675090211003621,0.499618452537494,2340.21622077248,2352.2276221298
"HMD_Global","Tetracycline_Lag0","None",0.0120897961169166,0.00617886343800784,1.95663753345786,0.0503900988999736,2337.24162091744,2349.25302227476
"HMD_Global","Lincomycin_Lag0","None",-0.0214286008877416,0.00777171691604249,-2.75725442900633,0.00582889774737709,2331.38680037883,2343.39820173615
"HMD_Global","OtherTreatments_Lag0","None",0.0172255242289245,0.00911924678257743,1.88891962676504,0.0589025991451236,2337.62970594471,2349.64110730203
"HMD_Global","PrimaryRespiratory_Lag0","None",0.0113602241863817,0.00138984754704731,8.17371963602495,2.99024240766988e-16,2263.1039290794,2275.11533043673
